Batch size 15,Total time: 1661.0388549804688 ms
Batch size 14,Total time: 1587.099676513672 ms
Batch size 13,Total time: 1454.5340209960937 ms
Batch size 12,Total time: 1373.3174133300781 ms
Batch size 11,Total time: 1254.5916870117187 ms
Batch size 10,Total time: 1132.4219909667968 ms
Batch size 9,Total time: 1052.7568969726562 ms
Batch size 8,Total time: 931.7361938476563 ms
Batch size 7,Total time: 853.2807189941407 ms
Batch size 6,Total time: 727.1449584960938 ms
Batch size 5,Total time: 603.2734161376953 ms
Batch size 4,Total time: 509.0376693725586 ms
Batch size 3,Total time: 399.9762451171875 ms
Batch size 2,Total time: 298.5392135620117 ms
Batch size 1,Total time: 196.95769500732422 ms
