Batch size 19,Total time: 1833.6697875976563 ms
Batch size 18,Total time: 1736.8931823730468 ms
Batch size 17,Total time: 1672.9065551757812 ms
Batch size 16,Total time: 1557.5633911132813 ms
Batch size 15,Total time: 1458.6598205566406 ms
Batch size 14,Total time: 1383.0494323730468 ms
Batch size 13,Total time: 1262.12119140625 ms
Batch size 12,Total time: 1190.1061584472657 ms
Batch size 11,Total time: 1082.722640991211 ms
Batch size 10,Total time: 970.0831878662109 ms
Batch size 9,Total time: 900.99130859375 ms
Batch size 8,Total time: 791.9163970947266 ms
Batch size 7,Total time: 728.2702392578125 ms
Batch size 6,Total time: 613.7144317626953 ms
Batch size 5,Total time: 503.8792724609375 ms
Batch size 4,Total time: 421.5730178833008 ms
Batch size 3,Total time: 323.9632904052734 ms
Batch size 2,Total time: 237.240625 ms
Batch size 1,Total time: 141.94606018066406 ms
